"id","entidad_federativa","municipio"
"20118","01","1"
"20119","01","1"
"20120","01","1"
"20123","01","1"
"20124","01","1"
"20126","01","1"
"20127","01","1"
"20129","01","1"
"20130","01","1"
"20135","01","1"
"20136","01","1"
"20137","01","1"
"20138","01","1"
"20140","01","1"
"20146","01","1"
"20149","01","1"
"20150","01","1"
"20157","01","1"
"20158","01","1"
"20159","01","1"
"20160","01","1"
"20164","01","1"
"20169","01","1"
"20170","01","1"
"20172","01","1"
"20174","01","1"
"20175","01","1"
"20177","01","1"
"20179","01","1"
"20180","01","1"
"20190","01","1"
"20196","01","1"
"20198","01","1"
"20199","01","1"
"20200","01","1"
"20205","01","1"
"20206","01","1"
"20207","01","1"
"20208","01","1"
"20210","01","1"
"20216","01","1"
"20217","01","1"
"20218","01","1"
"20219","01","1"
"20220","01","1"
"20229","01","1"
"20230","01","1"
"20234","01","1"
"20235","01","1"
"20236","01","1"
"20237","01","1"
"20238","01","1"
"20239","01","1"
"20240","01","1"
"20247","01","1"
"20248","01","1"
"20249","01","1"
"20250","01","1"
"20255","01","1"
"20256","01","1"
"20257","01","1"
"20259","01","1"
"20260","01","1"
"20263","01","1"
"20264","01","1"
"20265","01","1"
"20266","01","1"
"20267","01","1"
"20268","01","1"
"20269","01","1"
"20270","01","1"
"20276","01","1"
"20277","01","1"
"20278","01","1"
"20280","01","1"
